, Copy-time, BSearch - ops, BSearch - time, LSearch - ops, LSearch - time
1000,0,5867, 0,256078, 0,9, 0,465, 0,
6000,0,43488, 0,8944248, 35,11, 0,2978, 0,
11000,0,102132, 0,30448126, 142,12, 0,5647, 0,
16000,0,157439, 1,63936182, 330,13, 0,8251, 0,
21000,0,174452, 1,110765040, 579,13, 0,10668, 0,
26000,0,274343, 2,169051891, 918,13, 0,12932, 0,
31000,0,284768, 2,240424032, 1315,13, 0,15350, 0,
36000,0,332114, 2,322770356, 1781,14, 0,18099, 0,
41000,0,402115, 3,418218554, 2307,14, 0,20378, 0,
46000,0,492509, 3,529449916, 2961,14, 0,22980, 0,
51000,0,514219, 4,649146984, 3744,14, 0,25465, 0,
56000,0,547274, 4,784991407, 4502,14, 0,28204, 0,
61000,0,659642, 5,933092585, 5218,14, 0,30556, 0,
66000,0,758984, 5,1085559291, 6166,14, 0,32485, 0,
71000,0,724340, 6,1258816386, 7133,15, 0,35794, 0,
76000,0,827989, 6,1440997849, 8169,15, 0,38115, 0,
81000,0,815541, 7,1634916255, 9299,15, 0,40544, 0,
86000,0,898340, 7,1851934033, 10459,15, 0,43354, 0,
91000,0,895076, 8,2065035131, 11716,15, 0,45459, 0,
96000,0,993394, 8,2307736295, 13097,15, 0,47742, 0,
101000,0,1130813, 9,2549421872, 14455,15, 0,50536, 0,
106000,0,1066352, 9,2808783299, 15958,15, 0,52990, 0,
111000,0,1232940, 9,3071915222, 17522,15, 0,55494, 0,
116000,0,1255599, 10,3368224627, 19162,15, 0,57726, 0,
121000,0,1501411, 11,3664622536, 20829,15, 0,60902, 0,
126000,0,1299525, 11,3975291259, 22606,15, 0,62619, 0,
131000,0,1436439, 12,4280803696, 24406,15, 0,65638, 0,
136000,0,1504874, 12,342849576, 26383,16, 0,67890, 0,
141000,0,1587066, 13,678594567, 28444,16, 0,70539, 0,
146000,0,1510738, 13,1021442826, 30334,16, 0,72876, 0,
151000,0,1638670, 14,1411285056, 32428,16, 0,75580, 0,
156000,0,1737107, 14,1802500976, 34958,16, 0,77325, 0,
161000,0,1707693, 15,2153895794, 37942,16, 0,79788, 0,
166000,0,1887614, 15,2600023821, 40293,16, 0,82748, 0,
171000,0,1989850, 17,3009950404, 42976,16, 0,85399, 0,
176000,0,2357374, 16,3441857873, 45009,16, 0,87514, 0,
181000,0,2035954, 16,3901175344, 48056,16, 0,90633, 0,
186000,0,2105429, 17,62226678, 50429,16, 0,92494, 0,
191000,0,2054663, 17,540982041, 53360,16, 0,95810, 0,
196000,0,2428553, 18,994519266, 56315,16, 0,97992, 0,
201000,0,2475251, 19,1511529369, 58986,16, 0,100240, 0,
206000,0,2278273, 20,2013378752, 62814,16, 0,102227, 0,
211000,0,2419678, 20,2541702431, 65336,16, 0,104918, 0,
216000,0,2354396, 20,3070273089, 69175,16, 0,108265, 0,
221000,0,2708249, 21,3622771632, 71658,16, 0,110056, 0,
226000,0,2715908, 21,4179873234, 74885,16, 0,112848, 0,
231000,0,2762946, 24,426136244, 77962,16, 0,116055, 0,
236000,0,2761052, 22,1058778663, 81257,16, 0,117961, 0,
241000,0,2975914, 24,1609277368, 84820,16, 0,120512, 0,
246000,0,2662287, 24,2235994784, 88804,16, 0,123749, 0,
